lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Rocklin,CA,None,Topaz,1,38.8075,-121.2488,0.0,0.0,39.3833,-112.7167
Stockton,CA,Santa Anita,Heartmountain,1,37.9765,-121.3109,34.1333,-118.0333,44.5167,-109.05
National City,CA,Santa Anita,Jerome,1,32.6654,-117.0983,34.1333,-118.0333,33.3833,-91.4667
Rocklin,CA,Marysville (Arboga),Rohwer,1,38.8075,-121.2488,0.0,0.0,33.75,-91.2667
Stockton,CA,Pinedale,Poston,1,37.9765,-121.3109,36.84,-119.8,34.15,-114.2833
National City,CA,Santa Anita,Minidoka,1,32.6654,-117.0983,34.1333,-118.0333,42.6667,-114.2333
National City,CA,Santa Anita,Topaz,1,32.6654,-117.0983,34.1333,-118.0333,39.3833,-112.7167
Stockton,CA,None,Gilariver,1,37.9765,-121.3109,0.0,0.0,32.1667,-111.8667
Santa Cruz,CA,Tanforan,Topaz,1,36.9789,-122.0346,37.6167,-122.4,39.3833,-112.7167
Nevada City,CA,None,Tulelake,1,39.2607,-121.0231,0.0,0.0,41.8833,-121.3667
Stockton,CA,Marysville (Arboga),Rohwer,1,37.9765,-121.3109,0.0,0.0,33.75,-91.2667
New York,NY,Manzanar,Manzanar,1,40.6943,-73.9249,36.7333,-118.0667,36.7333,-118.0667
Stockton,CA,Manzanar,Gilariver,1,37.9765,-121.3109,36.7333,-118.0667,32.1667,-111.8667
New York,NY,None,Poston,1,40.6943,-73.9249,0.0,0.0,34.15,-114.2833
Riverside,CA,Santa Anita,Poston,1,33.9381,-117.3948,34.1333,-118.0333,34.15,-114.2833
New York,NY,Puyallup,Minidoka,1,40.6943,-73.9249,47.1833,-122.2833,42.6667,-114.2333
Spokane,WA,Sacramento (Walerga),Tulelake,1,47.6671,-117.433,0.0,0.0,41.8833,-121.3667
Spokane,WA,Puyallup,Tulelake,1,47.6671,-117.433,47.1833,-122.2833,41.8833,-121.3667
New York,NY,Santa Anita,Amache,1,40.6943,-73.9249,34.1333,-118.0333,38.05,-102.3
Rocklin,CA,Tanforan,Tulelake,1,38.8075,-121.2488,37.6167,-122.4,41.8833,-121.3667
Missoula,MT,Santa Anita,Poston,1,46.875,-114.0214,34.1333,-118.0333,34.15,-114.2833
Sultan,WA,Puyallup,Minidoka,1,47.871,-121.8043,47.1833,-122.2833,42.6667,-114.2333
