lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Oakland,CA,None,Minidoka,1,37.7903,-122.2165,0.0,0.0,42.6667,-114.2333
Oakland,CA,Pinedale,Gilariver,1,37.7903,-122.2165,36.84,-119.8,32.1667,-111.8667
Santa Paula,CA,Santa Anita,Gilariver,1,34.3521,-119.0698,34.1333,-118.0333,32.1667,-111.8667
South Gate,CA,None,Heartmountain,1,33.9448,-118.1926,0.0,0.0,44.5167,-109.05
Santa Paula,CA,Santa Anita,Heartmountain,1,34.3521,-119.0698,34.1333,-118.0333,44.5167,-109.05
South Gate,CA,Merced,Gilariver,1,33.9448,-118.1926,37.3,-120.4667,32.1667,-111.8667
Oakland,CA,Sacramento (Walerga),Minidoka,1,37.7903,-122.2165,0.0,0.0,42.6667,-114.2333
South Gate,CA,Mayer,Gilariver,1,33.9448,-118.1926,34.3833,-112.2333,32.1667,-111.8667
Oakland,CA,Sacramento (Walerga),Poston,1,37.7903,-122.2165,0.0,0.0,34.15,-114.2833
Oakland,CA,Santa Anita,Gilariver,1,37.7903,-122.2165,34.1333,-118.0333,32.1667,-111.8667
Santa Paula,CA,Santa Anita,Jerome,1,34.3521,-119.0698,34.1333,-118.0333,33.3833,-91.4667
South Gate,CA,Manzanar,Heartmountain,1,33.9448,-118.1926,36.7333,-118.0667,44.5167,-109.05
South Gate,CA,Manzanar,Amache,1,33.9448,-118.1926,36.7333,-118.0667,38.05,-102.3
Oakland,CA,Santa Anita,Rohwer,1,37.7903,-122.2165,34.1333,-118.0333,33.75,-91.2667
South Bend,WA,Santa Anita,Heartmountain,1,46.6678,-123.8006,34.1333,-118.0333,44.5167,-109.05
Redlands,CA,Santa Anita,Jerome,1,34.0511,-117.1712,34.1333,-118.0333,33.3833,-91.4667
Redlands,CA,Santa Anita,Heartmountain,1,34.0511,-117.1712,34.1333,-118.0333,44.5167,-109.05
Oakland,CA,Tanforan,Manzanar,1,37.7903,-122.2165,37.6167,-122.4,36.7333,-118.0667
Oceanside,CA,Marysville (Arboga),Tulelake,1,33.2247,-117.3083,0.0,0.0,41.8833,-121.3667
Puyallup,WA,Portland,Tulelake,1,47.1794,-122.2902,45.5167,-122.6667,41.8833,-121.3667
Oceanside,CA,None,Manzanar,1,33.2247,-117.3083,0.0,0.0,36.7333,-118.0667
Sonora,CA,None,Tulelake,1,37.9819,-120.3828,0.0,0.0,41.8833,-121.3667
Santa Rosa,CA,Fresno,Amache,1,38.4458,-122.7067,36.7333,-119.7667,38.05,-102.3
Sonoma,CA,Tanforan,Topaz,1,38.2902,-122.4598,37.6167,-122.4,39.3833,-112.7167
Sonoma,CA,Santa Anita,Heartmountain,1,38.2902,-122.4598,34.1333,-118.0333,44.5167,-109.05
Oakland,CA,Merced,Tulelake,1,37.7903,-122.2165,37.3,-120.4667,41.8833,-121.3667
Oakland,CA,Mayer,Topaz,1,37.7903,-122.2165,34.3833,-112.2333,39.3833,-112.7167
San Mateo,CA,Pomona,Heartmountain,1,37.5521,-122.3122,34.05,-117.75,44.5167,-109.05
Oahu,HI,Stockton,Rohwer,1,0.0,0.0,37.95,-121.2833,33.75,-91.2667
Spokane,WA,Pomona,Amache,1,47.6671,-117.433,34.05,-117.75,38.05,-102.3
Riverside,CA,Pomona,Heartmountain,1,33.9381,-117.3948,34.05,-117.75,44.5167,-109.05
North Sacramento,CA,Merced,Amache,1,0.0,0.0,37.3,-120.4667,38.05,-102.3
Santa Maria,CA,Tanforan,Topaz,1,34.9334,-120.4432,37.6167,-122.4,39.3833,-112.7167
Riverbank,CA,Fresno,Jerome,1,37.7268,-120.9402,36.7333,-119.7667,33.3833,-91.4667
Spokane,WA,None,Manzanar,1,47.6671,-117.433,0.0,0.0,36.7333,-118.0667
Spokane,WA,None,Heartmountain,1,47.6671,-117.433,0.0,0.0,44.5167,-109.05
Spokane,WA,Merced,Amache,1,47.6671,-117.433,37.3,-120.4667,38.05,-102.3
Spokane,WA,Mayer,Topaz,1,47.6671,-117.433,34.3833,-112.2333,39.3833,-112.7167
South San Francisco,CA,Tanforan,Topaz,1,37.6536,-122.4197,37.6167,-122.4,39.3833,-112.7167
South San Francisco,CA,None,Poston,1,37.6536,-122.4197,0.0,0.0,34.15,-114.2833
South Gate,CA,Turlock,Jerome,1,33.9448,-118.1926,37.4833,-120.8333,33.3833,-91.4667
North Sacramento,CA,Pinedale,Poston,1,0.0,0.0,36.84,-119.8,34.15,-114.2833
South Gate,CA,Tulare,Tulelake,1,33.9448,-118.1926,36.2,-119.3333,41.8833,-121.3667
South Gate,CA,Tulare,Minidoka,1,33.9448,-118.1926,36.2,-119.3333,42.6667,-114.2333
North Sacramento,CA,Santa Anita,Jerome,1,0.0,0.0,34.1333,-118.0333,33.3833,-91.4667
Oahu,HI,Fresno,Jerome,1,0.0,0.0,36.7333,-119.7667,33.3833,-91.4667
Oahu,HI,Marysville (Arboga),Tulelake,1,0.0,0.0,0.0,0.0,41.8833,-121.3667
Rialto,CA,Fresno,Rohwer,1,34.1174,-117.3894,36.7333,-119.7667,33.75,-91.2667
South Gate,CA,Santa Anita,Minidoka,1,33.9448,-118.1926,34.1333,-118.0333,42.6667,-114.2333
Oahu,HI,None,Minidoka,1,0.0,0.0,0.0,0.0,42.6667,-114.2333
Oahu,HI,None,Tulelake,1,0.0,0.0,0.0,0.0,41.8833,-121.3667
Oahu,HI,Pinedale,Tulelake,1,0.0,0.0,36.84,-119.8,41.8833,-121.3667
Oahu,HI,Pomona,Heartmountain,1,0.0,0.0,34.05,-117.75,44.5167,-109.05
