lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,m_camp_lat,m_camp_lng
Tehachapi,CA,None,Gilariver,1,35.1274,-118.4749,32.1667,-111.8667
Tehachapi,CA,Manzanar,Manzanar,1,35.1274,-118.4749,36.7333,-118.0667
Tehachapi,CA,Fresno,Jerome,1,35.1274,-118.4749,33.3833,-91.4667
Sacramento,CA,Tulare,Gilariver,1,38.5667,-121.4683,32.1667,-111.8667
Taft,CA,Tulare,Gilariver,1,35.1267,-119.4242,32.1667,-111.8667
Taft,CA,Tanforan,Topaz,1,35.1267,-119.4242,39.3833,-112.7167
Taft,CA,Stockton,Topaz,1,35.1267,-119.4242,39.3833,-112.7167
Sacramento,CA,Stockton,Minidoka,1,38.5667,-121.4683,42.6667,-114.2333
Taft,CA,Santa Anita,Amache,1,35.1267,-119.4242,38.05,-102.3
Taft,CA,Pomona,Heartmountain,1,35.1267,-119.4242,44.5167,-109.05
Los Angeles,CA,Stockton,Topaz,1,34.1139,-118.4068,39.3833,-112.7167
Taft,CA,None,Minidoka,1,35.1267,-119.4242,42.6667,-114.2333
Los Angeles,CA,Stockton,Tulelake,1,34.1139,-118.4068,41.8833,-121.3667
Taft,CA,Merced,Poston,1,35.1267,-119.4242,34.15,-114.2833
Los Angeles,CA,Tanforan,Rohwer,1,34.1139,-118.4068,33.75,-91.2667
Los Angeles,CA,Tulare,Manzanar,1,34.1139,-118.4068,36.7333,-118.0667
Los Angeles,CA,Tulare,Tulelake,1,34.1139,-118.4068,41.8833,-121.3667
Taft,CA,Fresno,Tulelake,1,35.1267,-119.4242,41.8833,-121.3667
Sacramento,CA,Stockton,Gilariver,1,38.5667,-121.4683,32.1667,-111.8667
Taft,CA,Fresno,Poston,1,35.1267,-119.4242,34.15,-114.2833
Sacramento,CA,Sacramento (Walerga),Manzanar,1,38.5667,-121.4683,36.7333,-118.0667
Tehachapi,CA,Tanforan,Topaz,1,35.1274,-118.4749,39.3833,-112.7167
Salinas,CA,None,Jerome,1,36.6884,-121.6317,33.3833,-91.4667
Tehama,CA,Portland,Heartmountain,1,40.0218,-122.1269,44.5167,-109.05
Torrance,CA,None,Heartmountain,1,33.8346,-118.3417,44.5167,-109.05
Torrance,CA,Santa Anita,Minidoka,1,33.8346,-118.3417,42.6667,-114.2333
Longview,WA,Manzanar,Tulelake,1,46.1461,-122.9629,41.8833,-121.3667
Los Angeles,CA,Fresno,Gilariver,1,34.1139,-118.4068,32.1667,-111.8667
Los Angeles,CA,Manzanar,Gilariver,1,34.1139,-118.4068,32.1667,-111.8667
Torrance,CA,Puyallup,Tulelake,1,33.8346,-118.3417,41.8833,-121.3667
Pittsburg,CA,Stockton,Rohwer,1,38.0182,-121.8964,33.75,-91.2667
Salinas,CA,Stockton,Topaz,1,36.6884,-121.6317,39.3833,-112.7167
Torrance,CA,Pinedale,Jerome,1,33.8346,-118.3417,33.3833,-91.4667
Los Angeles,CA,Mayer,Gilariver,1,34.1139,-118.4068,32.1667,-111.8667
Salinas,CA,Santa Anita,Rohwer,1,36.6884,-121.6317,33.75,-91.2667
Salinas,CA,Pomona,Heartmountain,1,36.6884,-121.6317,44.5167,-109.05
Los Angeles,CA,Merced,Heartmountain,1,34.1139,-118.4068,44.5167,-109.05
Los Angeles,CA,Merced,Rohwer,1,34.1139,-118.4068,33.75,-91.2667
Los Angeles,CA,Portland,Tulelake,1,34.1139,-118.4068,41.8833,-121.3667
San Rafael,CA,None,Amache,1,37.9905,-122.5222,38.05,-102.3
San Rafael,CA,None,Gilariver,1,37.9905,-122.5222,32.1667,-111.8667
Torrance,CA,Manzanar,Topaz,1,33.8346,-118.3417,39.3833,-112.7167
San Rafael,CA,Pomona,Heartmountain,1,37.9905,-122.5222,44.5167,-109.05
Torrance,CA,Fresno,Topaz,1,33.8346,-118.3417,39.3833,-112.7167
Los Angeles,CA,None,Minidoka,1,34.1139,-118.4068,42.6667,-114.2333
Salinas,CA,None,Minidoka,1,36.6884,-121.6317,42.6667,-114.2333
Santa Ana,CA,Merced,Amache,1,33.7366,-117.8819,38.05,-102.3
Toppenish,WA,Pomona,Amache,1,46.3806,-120.3123,38.05,-102.3
Toppenish,WA,None,Minidoka,1,46.3806,-120.3123,42.6667,-114.2333
Tempe,AZ,None,Poston,1,33.3881,-111.9318,34.15,-114.2833
Los Angeles,CA,Portland,Minidoka,1,34.1139,-118.4068,42.6667,-114.2333
Madera,CA,None,Tulelake,1,36.9631,-120.0782,41.8833,-121.3667
Santa Barbara,CA,None,Tulelake,1,34.4285,-119.7202,41.8833,-121.3667
Spokane,WA,Portland,Topaz,1,47.6671,-117.433,39.3833,-112.7167
Madera,CA,Santa Anita,Jerome,1,36.9631,-120.0782,33.3833,-91.4667
Modesto,CA,Fresno,Jerome,1,37.6374,-121.0028,33.3833,-91.4667
Rocklin,CA,Santa Anita,Jerome,1,38.8075,-121.2488,33.3833,-91.4667
Modesto,CA,None,Manzanar,1,37.6374,-121.0028,36.7333,-118.0667
Modesto,CA,Santa Anita,Rohwer,1,37.6374,-121.0028,33.75,-91.2667
Modesto,CA,Stockton,Minidoka,1,37.6374,-121.0028,42.6667,-114.2333
Morgan Hill,CA,Merced,Amache,1,37.1326,-121.6417,38.05,-102.3
Stockton,CA,Stockton,Heartmountain,1,37.9765,-121.3109,44.5167,-109.05
Rocklin,CA,Pomona,Heartmountain,1,38.8075,-121.2488,44.5167,-109.05
Rocklin,CA,None,Topaz,1,38.8075,-121.2488,39.3833,-112.7167
Stockton,CA,Santa Anita,Heartmountain,1,37.9765,-121.3109,44.5167,-109.05
National City,CA,Santa Anita,Jerome,1,32.6654,-117.0983,33.3833,-91.4667
Rocklin,CA,Marysville (Arboga),Rohwer,1,38.8075,-121.2488,33.75,-91.2667
Stockton,CA,Pinedale,Poston,1,37.9765,-121.3109,34.15,-114.2833
National City,CA,Santa Anita,Minidoka,1,32.6654,-117.0983,42.6667,-114.2333
National City,CA,Santa Anita,Topaz,1,32.6654,-117.0983,39.3833,-112.7167
Stockton,CA,None,Gilariver,1,37.9765,-121.3109,32.1667,-111.8667
Santa Cruz,CA,Tanforan,Topaz,1,36.9789,-122.0346,39.3833,-112.7167
Nevada City,CA,None,Tulelake,1,39.2607,-121.0231,41.8833,-121.3667
Stockton,CA,Marysville (Arboga),Rohwer,1,37.9765,-121.3109,33.75,-91.2667
New York,NY,Manzanar,Manzanar,1,40.6943,-73.9249,36.7333,-118.0667
Stockton,CA,Manzanar,Gilariver,1,37.9765,-121.3109,32.1667,-111.8667
New York,NY,None,Poston,1,40.6943,-73.9249,34.15,-114.2833
Riverside,CA,Santa Anita,Poston,1,33.9381,-117.3948,34.15,-114.2833
New York,NY,Puyallup,Minidoka,1,40.6943,-73.9249,42.6667,-114.2333
Spokane,WA,Sacramento (Walerga),Tulelake,1,47.6671,-117.433,41.8833,-121.3667
Spokane,WA,Puyallup,Tulelake,1,47.6671,-117.433,41.8833,-121.3667
New York,NY,Santa Anita,Amache,1,40.6943,-73.9249,38.05,-102.3
Rocklin,CA,Tanforan,Tulelake,1,38.8075,-121.2488,41.8833,-121.3667
Missoula,MT,Santa Anita,Poston,1,46.875,-114.0214,34.15,-114.2833
Sultan,WA,Puyallup,Minidoka,1,47.871,-121.8043,42.6667,-114.2333
Sunnyvale,CA,Santa Anita,Amache,1,37.3836,-122.0256,38.05,-102.3
Sacramento,CA,None,Minidoka,1,38.5667,-121.4683,42.6667,-114.2333
Madera,CA,Turlock,Gilariver,1,36.9631,-120.0782,32.1667,-111.8667
Manteca,CA,Merced,Amache,1,37.7927,-121.2264,38.05,-102.3
Royal,UT,Portland,Minidoka,1,39.746111,-110.880278,42.6667,-114.2333
Santa Barbara,CA,Tulare,Manzanar,1,34.4285,-119.7202,36.7333,-118.0667
Manteca,CA,None,Manzanar,1,37.7927,-121.2264,36.7333,-118.0667
Ross,CA,Santa Anita,Topaz,1,37.9638,-122.5615,39.3833,-112.7167
Sunnyvale,CA,Stockton,Rohwer,1,37.3836,-122.0256,33.75,-91.2667
Manteca,CA,None,Tulelake,1,37.7927,-121.2264,41.8833,-121.3667
Ross,CA,Santa Anita,Rohwer,1,37.9638,-122.5615,33.75,-91.2667
Manteca,CA,Stockton,Manzanar,1,37.7927,-121.2264,36.7333,-118.0667
Manteca,CA,Stockton,Minidoka,1,37.7927,-121.2264,42.6667,-114.2333
Manteca,CA,Stockton,Topaz,1,37.7927,-121.2264,39.3833,-112.7167
Sultan,WA,Puyallup,Tulelake,1,47.871,-121.8043,41.8833,-121.3667
Ross,CA,Pomona,Heartmountain,1,37.9638,-122.5615,44.5167,-109.05
Marysville,CA,Fresno,Tulelake,1,39.1518,-121.5835,41.8833,-121.3667
Ross,CA,None,Topaz,1,37.9638,-122.5615,39.3833,-112.7167
Marysville,CA,None,Poston,1,39.1518,-121.5835,34.15,-114.2833
Maui,HI,None,Manzanar,1,20.8,-156.333333,36.7333,-118.0667
San Joaquin,CA,Stockton,Topaz,1,36.6057,-120.1897,39.3833,-112.7167
Maui,HI,Santa Anita,Gilariver,1,20.8,-156.333333,32.1667,-111.8667
Sunnyvale,CA,Manzanar,Tulelake,1,37.3836,-122.0256,41.8833,-121.3667
Merced,CA,Mayer,Topaz,1,37.3057,-120.4778,39.3833,-112.7167
Sunnyvale,CA,Fresno,Heartmountain,1,37.3836,-122.0256,44.5167,-109.05
Mesa,AZ,None,Poston,1,33.4017,-111.718,34.15,-114.2833
Santa Clara,CA,Tanforan,Topaz,1,37.3645,-121.968,39.3833,-112.7167
Zillah,WA,Santa Anita,Rohwer,1,46.4084,-120.2725,33.75,-91.2667
